ID,is_correct
0,True
1,True
2,True
3,False
4,True
5,True
6,False
7,True
8,False
9,False
10,False
11,False
12,True
13,False
14,True
15,True
16,True
17,False
18,True
19,False
20,False
21,True
22,True
23,True
24,False
25,False
26,False
27,False
28,True
29,False
30,True
31,False
32,False
33,False
34,True
35,False
36,False
37,True
38,False
39,True
40,False
41,False
42,False
43,False
44,True
45,False
46,False
47,True
48,False
49,True
50,False
51,False
52,False
53,True
54,True
55,False
56,False
57,False
58,False
59,False
60,False
61,True
62,True
63,True
64,True
65,True
66,True
67,False
68,True
69,True
70,False
71,True
72,True
73,True
74,True
75,True
76,False
77,False
78,False
79,True
80,True
81,False
82,True
83,False
84,False
85,False
86,True
87,False
88,False
89,True
90,False
91,False
92,True
93,True
94,False
95,True
96,True
97,True
98,False
99,False
100,True
101,False
102,True
103,True
104,True
105,True
106,True
107,False
108,False
109,True
110,False
111,False
112,False
113,True
114,True
115,False
116,True
117,True
118,True
119,False
120,False
121,False
122,True
123,False
124,True
125,False
126,False
127,True
128,True
129,False
130,True
131,True
132,True
133,False
134,False
135,False
136,True
137,False
138,True
139,True
140,True
141,True
142,False
143,False
144,True
145,False
146,False
147,True
148,False
149,False
150,False
151,False
152,False
153,True
154,False
155,False
156,False
157,False
158,True
159,True
160,True
161,True
162,True
163,False
164,True
165,False
166,True
167,False
168,False
169,False
170,True
171,False
172,True
173,True
174,True
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,True
183,False
184,False
185,True
186,False
187,True
188,True
189,True
190,True
191,True
192,False
193,False
194,True
195,True
196,True
197,False
198,True
199,True
200,False
201,False
202,True
203,True
204,True
205,True
206,False
207,False
208,True
209,False
210,False
211,True
212,False
213,False
214,True
215,False
216,True
217,True
218,False
219,True
220,False
221,True
222,True
223,True
224,False
225,True
226,False
227,False
228,False
229,False
230,False
231,False
232,True
233,True
234,False
235,False
236,True
237,False
238,True
239,True
240,False
241,False
242,True
243,True
244,True
245,True
246,True
247,False
248,False
249,False
250,True
251,True
252,True
253,False
254,True
255,True
256,False
257,True
258,False
259,False
260,True
261,True
262,False
263,True
264,False
265,True
266,True
267,False
268,False
269,False
270,True
271,False
272,False
273,True
274,False
275,True
276,False
277,True
278,False
279,True
280,True
281,False
282,True
283,True
284,False
285,True
286,False
287,True
288,True
289,False
290,True
291,True
292,True
293,True
294,False
295,False
296,False
297,True
298,True
299,False
300,True
301,False
302,True
303,False
304,False
305,True
306,True
307,True
308,False
309,False
310,False
311,True
312,False
313,False
314,True
315,False
316,True
317,True
318,True
319,False
320,True
321,False
322,False
323,False
324,False
325,False
326,False
327,False
328,True
329,True
330,False
331,False
332,True
333,True
334,True
335,True
336,False
337,False
338,True
339,False
340,True
341,True
342,True
343,True
344,False
345,True
346,True
347,False
348,False
349,False
350,False
351,False
352,True
353,False
354,False
355,True
356,True
357,True
358,False
359,False
360,True
361,True
362,True
363,False
364,False
365,True
366,True
367,False
368,True
369,True
370,False
371,False
372,True
373,True
374,True
375,True
376,False
377,False
378,True
379,True
380,False
381,True
382,True
383,False
384,True
385,False
386,False
387,True
388,True
389,False
390,True
391,False
392,False
393,True
394,False
395,True
396,False
397,True
398,False
399,False
400,True
401,False
402,False
403,False
404,False
405,True
406,False
407,False
408,True
409,True
410,False
411,True
412,False
413,False
414,True
415,True
416,False
417,True
418,True
419,False
420,True
421,True
422,False
423,True
424,True
425,False
426,True
427,True
428,False
429,False
430,False
431,True
432,False
433,False
434,True
435,False
436,False
437,False
438,False
439,False
440,False
441,True
442,True
443,True
444,True
445,False
446,False
447,True
448,True
449,False
450,True
451,False
452,True
453,False
454,True
455,False
456,False
457,False
458,False
459,False
460,False
461,True
462,True
463,True
464,False
465,False
466,False
467,False
468,True
469,True
470,True
471,False
472,False
473,True
474,False
475,True
476,False
477,True
478,False
479,False
480,False
481,True
482,True
483,False
484,False
485,False
486,False
487,True
488,False
489,True
490,False
491,False
492,True
493,True
494,True
495,False
496,True
497,False
498,False
499,False
500,True
501,True
502,True
503,False
504,False
505,True
506,True
507,False
508,True
509,True
510,False
511,False
512,True
513,True
514,True
515,False
516,True
517,False
518,False
519,False
520,False
521,True
522,False
523,True
524,True
525,False
526,True
527,False
528,False
529,False
530,False
531,True
532,True
533,False
534,True
535,True
536,False
537,True
538,True
539,False
540,False
541,True
542,True
543,False
544,False
545,True
546,False
547,True
548,False
549,False
550,True
551,True
552,False
553,True
554,False
555,False
556,True
557,False
558,True
559,True
560,False
561,False
562,True
563,True
564,True
565,False
566,False
567,False
568,True
569,False
570,False
571,True
572,False
573,False
574,True
575,True
576,True
577,False
578,True
579,False
580,True
581,False
582,True
583,False
584,False
585,True
586,False
587,True
588,True
589,False
590,False
591,True
592,False
593,False
594,True
595,False
596,False
